team,player,gms_played,min_played,usage_pct,fgm,fga,fg_pct,two_pt_m,two_pt_att,two_pt_pct,eff_fg_pct,ftm,fta,ft_pct,ft_rate,pts
NYK,Mitchell Robinson,72,1848,11.4,3.6,4.8,0.761,3.6,4.8,0.761,0.761,1.2,2.5,0.486,0.528,8.5
NYK,Taj Gibson,52,946,10,1.7,3.2,0.518,1.4,2.5,0.555,0.563,0.8,1,0.808,0.313,4.4
NYK,Nerlens Noel,25,562,7.3,1.3,2.4,0.533,1.3,2.3,0.561,0.533,0.8,1.2,0.7,0.5,3.4
NYK,Ryan Arcidiacono,10,76,8.6,0.6,1.2,0.5,0.2,0.3,0.667,0.667,0,0,,0,1.6
NYK,Tyler Hall,1,2,0,0,0,,0,0,,,0,0,,,0
NYK,RJ Barrett,70,2417,27.6,7,17.1,0.408,5,11.3,0.442,0.466,4.1,5.8,0.714,0.34,20
NYK,Miles McBride,40,372,13.9,0.8,2.7,0.296,0.4,1,0.375,0.375,0.2,0.3,0.667,0.111,2.2
NYK,Julius Randle,72,2544,28.7,7.1,17.3,0.411,5.4,11.9,0.458,0.459,4.2,5.6,0.756,0.322,20.1
OKC,Josh Giddey,54,1700,22.2,5.2,12.4,0.419,4.2,8.5,0.492,0.461,1,1.5,0.709,0.118,12.5
OKC,Isaiah Roby,45,948,19,3.7,7.2,0.514,2.7,5,0.545,0.582,1.7,2.6,0.672,0.359,10.1
OKC,Shai Gilgeous-Alexander,56,1942,30.8,8.5,18.8,0.453,6.9,13.5,0.514,0.496,5.9,7.2,0.81,0.385,24.5
OKC,Darius Bazley,69,1924,18.3,4,9.4,0.422,2.8,5.5,0.511,0.484,1.7,2.5,0.688,0.262,10.8
OKC,Luguentz Dort,51,1665,23.3,5.7,14.2,0.404,3.2,6.6,0.487,0.493,3.2,3.7,0.843,0.263,17.2
OKC,Jeremiah Robinson-Earl,49,1087,15.4,2.7,6.6,0.414,1.6,3.2,0.478,0.503,0.8,1.1,0.741,0.167,7.5
OKC,Aleksej Pokusevski,61,1233,20,3,7.5,0.408,2.1,4.2,0.498,0.47,0.6,0.8,0.7,0.11,7.6
OKC,Kenrich Williams,49,1072,15.6,3,6.5,0.461,2.1,4,0.536,0.525,0.6,1.1,0.545,0.174,7.4
OKC,Tre Mann,60,1367,22,3.9,9.8,0.393,2.2,5.3,0.421,0.476,1.1,1.4,0.793,0.139,10.4
OKC,Olivier Sarr,22,421,13.9,2.6,4.6,0.574,2,3.3,0.625,0.639,1.1,1.3,0.828,0.287,7
OKC,Lindy Waters III,25,465,17.5,2.8,7,0.406,0.7,1.2,0.621,0.557,0.2,0.2,0.8,0.029,8
OKC,Mamadi Diakite,13,188,13.5,1.9,3.6,0.532,1.9,3.2,0.595,0.532,0.5,0.8,0.545,0.234,4.3
OKC,Jaylen Hoard,7,240,18.7,6.3,12.9,0.489,5,9.3,0.538,0.539,0.9,2,0.429,0.156,14.7
OKC,Mike Muscala,43,592,20.9,2.6,5.8,0.456,1,2,0.506,0.597,1.1,1.3,0.842,0.23,8
OKC,Ty Jerome,48,801,20.8,2.6,6.8,0.378,1.5,3,0.493,0.46,0.8,1,0.809,0.143,7.1
OKC,Théo Maledon,51,908,20.3,2.3,6.2,0.375,1.5,3.3,0.449,0.445,1.5,2,0.79,0.315,7.1
OKC,Derrick Favors,39,653,13.4,2.4,4.7,0.516,2.4,4.3,0.554,0.522,0.4,0.6,0.64,0.137,5.3
OKC,Vit Krejci,30,690,12.9,2.3,5.6,0.407,1.2,2.3,0.522,0.503,0.6,0.7,0.864,0.132,6.2
OKC,Gabriel Deck,7,56,12.3,1.1,2,0.571,0.9,1.4,0.6,0.643,0,0,,0,2.6
OKC,Rob Edwards,2,11,19.6,0.5,2,0.25,0,0,,0.375,0,0,,0,1.5
OKC,Paul Watson,9,156,11,1.3,3.9,0.343,0.7,1,0.667,0.429,0.1,0.2,0.5,0.057,3.4
OKC,Melvin Frazier,3,120,19.5,4.3,16,0.271,4,9,0.444,0.281,1.7,2.3,0.714,0.146,10.7
OKC,Zavier Simpson,4,174,15.9,4.8,13,0.365,4.5,11,0.409,0.375,1.3,1.3,1,0.096,11
OKC,Scotty Hopson,1,18,14.4,2,4,0.5,2,3,0.667,0.5,0,0,,0,4
OKC,Aaron Wiggins,50,1209,15.3,3.1,6.7,0.463,2.3,4,0.573,0.525,1.2,1.7,0.729,0.252,8.3
ORL,Aleem Ford,5,74,14,1.2,4,0.3,0.8,1,0.8,0.35,0,0,,0,2.8
ORL,Markelle Fultz,18,360,27.5,4.6,9.7,0.474,4.4,8.8,0.5,0.486,1.4,1.7,0.806,0.177,10.8
ORL,Devin Cannady,5,145,15.5,3,8.8,0.341,0,1.4,0,0.511,1,1.4,0.714,0.159,10
ORL,B.J. Johnson,4,65,16.7,2.8,6.3,0.44,1.8,3.8,0.467,0.52,0,0,,0,6.5
ORL,Robin Lopez,36,612,18.9,3.1,5.5,0.553,3,5.4,0.56,0.558,0.9,1.5,0.593,0.271,7.1
ORL,Mo Bamba,71,1824,17.2,4.2,8.7,0.48,2.7,4.7,0.563,0.566,0.8,1,0.781,0.118,10.6
ORL,Franz Wagner,79,2429,21.2,5.8,12.3,0.468,4.6,8.9,0.511,0.517,2.4,2.8,0.863,0.225,15.2
