DIVISION,TM,SEASON,POSSESSIONS,PTS
Southeast,MIA,2018-19,8015,8668
Southeast,MIA,2019-20,7222,8179
Southeast,MIA,2020-21,6949,7781
Southeast,MIA,2021-22,7893,9022
Southeast,MIA,2022-23,7894,8977
Southeast,WAS,2000-01,7621,7645
Southeast,WAS,2001-02,7291,7609
Southeast,WAS,2002-03,7304,7502
Southeast,WAS,2003-04,7679,7531
Southeast,WAS,2004-05,7729,8241
Southeast,WAS,2005-06,7665,8336
Southeast,WAS,2006-07,7793,8556
Southeast,WAS,2007-08,7441,8104
Southeast,WAS,2008-09,7477,7877
Southeast,WAS,2009-10,7556,7892
Southeast,WAS,2010-11,7762,7977
Southeast,WAS,2011-12,6120,6180
Southeast,WAS,2012-13,7622,7644
Southeast,WAS,2013-14,7786,8254
Southeast,WAS,2014-15,7748,8080
Southeast,WAS,2015-16,8078,8534
Southeast,WAS,2016-17,8031,8953
Southeast,WAS,2017-18,7972,8742
Southeast,WAS,2018-19,8388,9350
Southeast,WAS,2019-20,7396,8238
Southeast,WAS,2020-21,7506,8398
Southeast,WAS,2021-22,7991,8907
Southeast,WAS,2022-23,8066,9279
Southeast,ORL,2000-01,7734,7992
Southeast,ORL,2001-02,7727,8240
Southeast,ORL,2002-03,7707,8078
Southeast,ORL,2003-04,7533,7711
Southeast,ORL,2004-05,7817,8160
Southeast,ORL,2005-06,7312,7784
Southeast,ORL,2006-07,7388,7771
Southeast,ORL,2007-08,7675,8567
Southeast,ORL,2008-09,7564,8286
Southeast,ORL,2009-10,7525,8426
Southeast,ORL,2010-11,7494,8135
Southeast,ORL,2011-12,5911,6215
Southeast,ORL,2012-13,7579,7718
Southeast,ORL,2013-14,7762,7914
Southeast,ORL,2014-15,7690,7847
Southeast,ORL,2015-16,7929,8369
Southeast,ORL,2016-17,7904,8288
Southeast,ORL,2017-18,8012,8479
Southeast,ORL,2018-19,8050,8800
Southeast,ORL,2019-20,7174,7831
Southeast,ORL,2020-21,7081,7488
