Player,Season,Record,TM,GP,W,L,MIN_PLAYED,PTS,POSS,TCHS,FRONT_CT_TCHS,POSS_TIME,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TCH,PTS_PER_TCH,ELBOW_CT_TCHS,POST_UPS,PAINT_TCHS,PTS_PER_ELB_TCH,PTS_PER_POST_TCH,PTS_PER_PAINT_TCH
Tyler Zeller,2015-16,48-34,BOS,59,37,22,698,359,8115,1192,840,30,1.5,0.48,0.301,109,38,198,0.633,0.395,0.924
Al Horford,2016-17,53-29,BOS,68,46,22,2193,952,7917,4553,3107,146,1.92,0.83,0.209,195,511,282,0.385,0.481,0.688
Amir Johnson,2016-17,53-29,BOS,80,51,29,1608,520,7917,2432,1589,61,1.5,0.53,0.214,110,71,342,0.345,0.296,0.933
Avery Bradley,2016-17,53-29,BOS,55,34,21,1835,894,7917,2736,1909,108,2.37,1.94,0.327,72,2,131,0.611,0.5,0.985
Demetrius Jackson,2016-17,53-29,BOS,5,1,4,17,10,7917,26,16,2,4.5,4.04,0.385,0,0,1,0,0,0
Gerald Green,2016-17,53-29,BOS,47,32,15,538,262,7917,712,491,27,2.31,1.29,0.368,10,7,29,0.5,0.571,0.862
Isaiah Thomas,2016-17,53-29,BOS,76,51,25,2569,2199,7917,6468,2737,528,4.9,4.76,0.34,76,7,65,0.592,0,0.554
Jae Crowder,2016-17,53-29,BOS,72,48,24,2335,999,7917,3593,2341,102,1.7,0.81,0.278,34,43,129,0.618,0.581,1.116
James Young,2016-17,53-29,BOS,29,16,13,220,68,7917,230,176,6,1.62,0.66,0.296,3,1,10,0,2,1.3
Jaylen Brown,2016-17,53-29,BOS,78,50,28,1341,515,7917,1709,1221,59,2.06,1.3,0.301,30,50,126,0.5,0.62,0.833
Jonas Jerebko,2016-17,53-29,BOS,78,51,27,1232,299,7917,2279,1219,56,1.47,0.44,0.131,29,10,101,0.345,0.4,0.634
Jordan Mickey,2016-17,53-29,BOS,25,9,16,141,38,7917,253,159,7,1.64,0.74,0.15,13,6,30,0.615,0,0.733
Kelly Olynyk,2016-17,53-29,BOS,75,49,26,1538,678,7917,3208,2006,89,1.66,0.58,0.211,77,87,249,0.623,0.736,0.9
Marcus Smart,2016-17,53-29,BOS,79,51,28,2399,835,7917,4521,2502,276,3.67,2.88,0.185,61,163,204,0.197,0.454,0.696
Terry Rozier,2016-17,53-29,BOS,74,47,27,1263,410,7917,2759,1144,193,4.2,4.09,0.149,24,0,50,0.5,0,0.42
Tyler Zeller,2016-17,53-29,BOS,51,32,19,525,178,7917,800,574,20,1.52,0.45,0.223,68,26,127,0.441,0.192,0.724
Abdel Nader,2017-18,55-27,BOS,47,32,15,520,146,7879,626,467,24,2.31,1.46,0.233,4,3,22,0,1,0.455
Al Horford,2017-18,55-27,BOS,69,44,25,2175,880,7879,4381,2761,161,2.2,1.06,0.201,215,358,261,0.409,0.478,0.693
Aron Baynes,2017-18,55-27,BOS,78,51,27,1433,462,7879,2201,1490,57,1.54,0.38,0.21,234,109,358,0.333,0.541,0.704
Daniel Theis,2017-18,55-27,BOS,60,41,19,894,325,7879,1423,906,38,1.59,0.34,0.228,79,30,201,0.468,0.467,0.846
Gordon Hayward,2017-18,55-27,BOS,1,0,1,5,2,7879,9,7,0,1.33,0.67,0.222,1,0,0,2,0,0
Greg Monroe,2017-18,55-27,BOS,26,15,11,496,265,7879,1065,718,40,2.27,0.88,0.249,94,134,120,0.309,0.47,0.892
Guerschon Yabusele,2017-18,55-27,BOS,32,23,9,233,79,7879,451,285,13,1.77,0.73,0.175,8,8,24,0.5,0.625,0.583
Jabari Bird,2017-18,55-27,BOS,13,8,5,115,39,7879,109,76,4,2.19,1.43,0.358,3,0,11,0.667,0,1.091
Jarell Eddie,2017-18,55-27,BOS,2,1,1,6,0,7879,7,5,0,2.27,1.57,0,0,0,0,0,0,0
Jaylen Brown,2017-18,55-27,BOS,67,44,23,2050,960,7879,2603,1776,104,2.39,1.56,0.369,32,81,172,0.625,0.556,0.791
Jayson Tatum,2017-18,55-27,BOS,77,50,27,2362,1070,7879,3287,2102,139,2.53,1.58,0.326,44,68,108,0.614,0.515,0.954
Jonathan Gibson,2017-18,55-27,BOS,4,2,2,40,34,7879,57,32,3,3.2,2.63,0.596,2,0,1,1,0,2
Kadeem Allen,2017-18,55-27,BOS,18,9,9,107,19,7879,197,69,15,4.49,4.02,0.096,0,0,6,0,0,1
Kyrie Irving,2017-18,55-27,BOS,57,38,19,1834,1392,7879,4334,1702,348,4.82,4.47,0.321,59,31,65,0.729,0.645,0.831
Marcus Morris Sr.,2017-18,55-27,BOS,52,32,20,1394,701,7879,2372,1467,84,2.12,1.11,0.296,51,124,92,0.784,0.597,0.946
Marcus Smart,2017-18,55-27,BOS,51,35,16,1537,527,7879,2949,1571,189,3.84,3.11,0.179,29,75,84,0.586,0.32,0.536
Semi Ojeleye,2017-18,55-27,BOS,70,47,23,1132,195,7879,1423,738,38,1.59,0.56,0.137,17,10,48,0.471,0,0.521
Shane Larkin,2017-18,55-27,BOS,51,36,15,743,231,7879,1395,627,107,4.62,4.6,0.166,8,0,13,0.625,0,0.692
